criteriaKey,criteria.criteriaKey.label,type,values,
deceased-basics,criteria.deceased-basics.label,,,
deceased_paid_into_SS,criteria.deceased_paid_into_SS.label,boolean,TRUE,
deceased_died_of_COVID,criteria.deceased_died_of_COVID.label,boolean,TRUE,
deceased_death_location_is_US,criteria.deceased_death_location_is_US.label,boolean,TRUE,
deceased_public_safety_officer,criteria.deceased_public_safety_officer.label,boolean,TRUE,
deceased_date_of_death,criteria.deceased_date_of_death.label,date,,
deceased_date_of_funeral,criteria.deceased_date_of_funeral.label,date,,
deceased-military,criteria.deceased-military.label,,,
deceased_served_in_active_military,criteria.deceased_served_in_active_military.label,radio,criteria.deceased_served_in_active_military.values2;criteria.deceased_served_in_active_military.values1;,
deceased_service_status,criteria.deceased_service_status.label,select,criteria.deceased_service_status.values4;criteria.deceased_service_status.values3;criteria.deceased_service_status.values2;criteria.deceased_service_status.values1;,
deceased_death_circumstance,criteria.deceased_death_circumstance.label,select,criteria.deceased_death_circumstance.values5;criteria.deceased_death_circumstance.values4;criteria.deceased_death_circumstance.values3;criteria.deceased_death_circumstance.values2;criteria.deceased_death_circumstance.values1;,
deceased_grave_headstone,criteria.deceased_grave_headstone.label,boolean,TRUE,
applicant-basics,criteria.applicant-basics.label,,,
applicant_paid_into_SS,criteria.applicant_paid_into_SS.label,boolean,TRUE,
applicant_ss_number,criteria.applicant_ss_number.label,boolean,TRUE,
applicant_date_of_birth,criteria.applicant_date_of_birth.label,date,,
applicant_marital_status,criteria.applicant_marital_status.label,select,criteria.applicant_marital_status.values4;criteria.applicant_marital_status.values3;criteria.applicant_marital_status.values2;criteria.applicant_marital_status.values1;,
applicant_citizen_status,criteria.applicant_citizen_status.label,boolean,TRUE,
applicant_disability,criteria.applicant_disability.label,boolean,TRUE,
applicant_ability_to_work,criteria.applicant_ability_to_work.label,boolean,TRUE,
applicant_income,criteria.applicant_income.label,boolean,TRUE,
applicant_health_insurance,criteria.applicant_health_insurance.label,boolean,TRUE,
applicant_dependents_children,criteria.applicant_dependents_children.label,boolean,TRUE,
applicant_declared_disaster,criteria.applicant_declared_disaster.label,boolean,TRUE,
applicant_high-school_diploma,criteria.applicant_high-school_diploma.label,boolean,TRUE,
applicant_degree_cerificate_program,criteria.applicant_degree_cerificate_program.label,boolean,TRUE,
applicant_disaster_zone,criteria.applicant_disaster_zone.label,location,,
applicant-relatonships,criteria.applicant-relatonships.label,,,
applicant_lost_a_family_member,criteria.applicant_lost_a_family_member.label,radio,criteria.applicant_lost_a_family_member.values2;criteria.applicant_lost_a_family_member.values1;,
applicant_lost_a_service_member,criteria.applicant_lost_a_service_member.label,radio,criteria.applicant_lost_a_service_member.values2;criteria.applicant_lost_a_service_member.values1;,
applicant_child_spouse_SS,criteria.applicant_child_spouse_SS.label,boolean,TRUE,
applicant_family_of_service_member,criteria.applicant_family_of_service_member.label,select,criteria.applicant_family_of_service_member.values3;criteria.applicant_family_of_service_member.values2;criteria.applicant_family_of_service_member.values1;,
applicant_care_for_child,criteria.applicant_care_for_child.label,boolean,TRUE,
applicant_relationship,criteria.applicant_relationship.label,select,criteria.applicant_relationship.values5;criteria.applicant_relationship.values4;criteria.applicant_relationship.values3;criteria.applicant_relationship.values2;criteria.applicant_relationship.values1;,
applicant_paid_funeral_expenses,criteria.applicant_paid_funeral_expenses.label,boolean,TRUE,
applicant_funeral_reimbursment,criteria.applicant_funeral_reimbursment.label,boolean,TRUE,
applicant-military,criteria.applicant-military.label,,,
applicant_served_in_active_military,criteria.applicant_served_in_active_military.label,radio,criteria.applicant_served_in_active_military.values2;criteria.applicant_served_in_active_military.values1;,
applicant_service_status,criteria.applicant_service_status.label,select,criteria.applicant_service_status.values4;criteria.applicant_service_status.values3;criteria.applicant_service_status.values2;criteria.applicant_service_status.values1;,
applicant_minimum_service_requirement,criteria.applicant_minimum_service_requirement.label,boolean,TRUE,
applicant_service_disability,criteria.applicant_service_disability.label,boolean,TRUE,
